iter	Passed	Remaining
0	191	84459
1	386	85281
2	752	110427
3	948	104080
4	1172	102705
5	1408	102577
6	1951	121523
7	2109	114728
8	2309	111349
9	2482	107497
10	2695	105847
11	2891	103866
12	3063	101343
13	3285	100671
14	3503	99962
15	3710	99011
16	3907	97913
17	4063	95946
18	4301	96000
19	4613	97581
20	4877	98009
21	5103	97670
22	5325	97241
23	5533	96604
24	5729	95794
25	5906	94734
26	6129	94434
27	6295	93309
28	6431	91822
29	6617	91095
30	6785	90185
31	6941	89149
32	7100	88223
33	7266	87417
34	7441	86745
35	7598	85905
36	7778	85351
37	7964	84884
38	8152	84447
39	8341	84042
40	8497	83315
41	8663	82711
42	8829	82132
43	8985	81478
44	9156	80980
45	9332	80539
46	9494	79997
47	9653	79438
48	9824	78995
49	10010	78684
50	10205	78440
51	10359	77896
52	10547	77616
53	10727	77275
54	10910	76970
55	11067	76483
56	11216	75960
57	11390	75607
58	11593	75455
59	11767	75117
60	11952	74852
61	12115	74452
62	12251	73895
63	12444	73692
64	12644	73533
65	12830	73286
66	13007	72999
67	13203	72815
68	13419	72737
69	13605	72499
70	13765	72124
71	13943	71849
72	14111	71524
73	14265	71134
74	14436	70836
75	14620	70601
76	14759	70155
77	14880	69634
78	15033	69267
79	15182	68890
80	15353	68616
81	15532	68381
82	15721	68189
83	15919	68036
84	16170	68104
85	16398	68071
86	16649	68128
87	16870	68056
88	17027	67727
89	17161	67311
90	17303	66934
91	17435	66520
92	17603	66250
93	17791	66056
94	17922	65651
95	18100	65425
96	18247	65088
97	18363	64648
98	18497	64272
99	18649	63967
100	18791	63631
101	18918	63246
102	19075	62968
103	19211	62623
104	19395	62435
105	19541	62127
106	19713	61905
107	19854	61586
108	19982	61231
109	20124	60923
110	20282	60663
111	20473	60506
112	20640	60277
113	20781	59973
114	20933	59707
115	21090	59453
116	21226	59143
117	21368	58853
118	21530	58621
119	21687	58376
120	21811	58045
121	21954	57766
122	22106	57511
123	22230	57189
124	22371	56913
125	22497	56601
126	22631	56311
127	22772	56040
128	22896	55732
129	23012	55406
130	23141	55114
131	23290	54873
132	23450	54659
133	23619	54465
134	23769	54228
135	23946	54056
136	24109	53850
137	24232	53557
138	24356	53268
139	24460	52940
140	24574	52635
141	24694	52346
142	24824	52080
143	24961	51829
144	25085	51555
145	25222	51309
146	25333	51011
147	25475	50778
148	25626	50565
149	25754	50306
150	25887	50060
151	26022	49818
152	26157	49578
153	26298	49352
154	26433	49115
155	26555	48854
156	26664	48573
157	26784	48313
158	26918	48081
159	27066	47874
160	27188	47622
161	27317	47384
162	27435	47129
163	27578	46917
164	27726	46715
165	27869	46505
166	28004	46282
167	28126	46040
168	28243	45791
169	28377	45570
170	28517	45361
171	28653	45146
172	28771	44903
173	28901	44680
174	29038	44470
175	29166	44246
176	29292	44021
177	29418	43797
178	29543	43571
179	29667	43348
180	29833	43183
181	29982	42997
182	30109	42778
183	30239	42564
184	30392	42385
185	30584	42259
186	30727	42065
187	30885	41892
188	31057	41739
189	31222	41574
190	31375	41395
191	31544	41238
192	31714	41080
193	31866	40900
194	32018	40720
195	32136	40498
196	32251	40273
197	32376	40061
198	32525	39880
199	32712	39745
200	32874	39579
201	33060	39443
202	33237	39295
203	33395	39124
204	33559	38961
205	33687	38757
206	34061	38833
207	34253	38700
208	34399	38513
209	34529	38311
210	34666	38116
211	34789	37907
212	34933	37721
213	35089	37548
214	35246	37378
215	35437	37241
216	35620	37098
217	35784	36933
218	35946	36767
219	36083	36575
220	36217	36381
221	36357	36193
222	36579	36087
223	36719	35899
224	36853	35707
225	36976	35504
226	37128	35329
227	37280	35154
228	37463	35009
229	37643	34861
230	37816	34706
231	38006	34565
232	38168	34400
233	38309	34216
234	38512	34088
235	38648	33899
236	38790	33716
237	38951	33550
238	39091	33366
239	39227	33180
240	39343	32976
241	39467	32780
242	39583	32578
243	39705	32382
244	39822	32182
245	39957	31998
246	40091	31813
247	40215	31620
248	40337	31427
249	40521	31282
250	40687	31123
251	40850	30961
252	40957	30758
253	41094	30577
254	41233	30399
255	41357	30210
256	41490	30027
257	41608	29835
258	41728	29644
259	41927	29510
260	42057	29327
261	42195	29150
262	42317	28962
263	42479	28802
264	42645	28644
265	42761	28454
266	42899	28278
267	43063	28119
268	43224	27959
269	43420	27821
270	43586	27663
271	43780	27523
272	43896	27334
273	44038	27162
274	44173	26985
275	44344	26831
276	44504	26670
277	44638	26493
278	44764	26313
279	44880	26126
280	45013	25951
281	45172	25790
282	45312	25618
283	45446	25443
284	45569	25263
285	45714	25094
286	45866	24931
287	45987	24750
288	46109	24570
289	46262	24407
290	46365	24218
291	46482	24037
292	46600	23856
293	46715	23675
294	46861	23509
295	46979	23331
296	47072	23139
297	47182	22957
298	47299	22779
299	47453	22619
300	47633	22471
301	47768	22302
302	47890	22127
303	48003	21948
304	48110	21767
305	48217	21587
306	48322	21406
307	48431	21227
308	48529	21045
309	48633	20865
310	48740	20687
311	48839	20506
312	48965	20337
313	49093	20169
314	49190	19988
315	49322	19822
316	49434	19649
317	49542	19474
318	49638	19295
319	49743	19120
320	49855	18948
321	49952	18771
322	50042	18591
323	50151	18419
324	50258	18247
325	50366	18076
326	50461	17900
327	50556	17725
328	50680	17561
329	50768	17384
330	50859	17209
331	50944	17032
332	51025	16855
333	51118	16682
334	51210	16509
335	51293	16334
336	51398	16167
337	51516	16003
338	51625	15838
339	51748	15676
340	51875	15517
341	51991	15354
342	52090	15186
343	52216	15027
344	52337	14866
345	52456	14705
346	52558	14540
347	52673	14379
348	52780	14215
349	52895	14055
350	52994	13890
351	53094	13726
352	53197	13563
353	53298	13399
354	53391	13235
355	53484	13070
356	53570	12904
357	53651	12738
358	53744	12575
359	53854	12416
360	53958	12256
361	54060	12096
362	54164	11937
363	54267	11777
364	54382	11621
365	54496	11465
366	54607	11308
367	54710	11150
368	54813	10992
369	54920	10835
370	55022	10678
371	55126	10521
372	55223	10363
373	55313	10204
374	55396	10045
375	55495	9888
376	55599	9733
377	55705	9579
378	55810	9424
379	55921	9271
380	56038	9119
381	56155	8967
382	56315	8822
383	56466	8675
384	56602	8527
385	56766	8382
386	56877	8230
387	56952	8073
388	57043	7918
389	57142	7765
390	57235	7611
391	57343	7460
392	57450	7309
393	57544	7156
394	57613	7001
395	57681	6846
396	57753	6691
397	57823	6537
398	57899	6384
399	57962	6230
400	58029	6077
401	58094	5925
402	58161	5772
403	58225	5620
404	58293	5469
405	58360	5318
406	58426	5167
407	58494	5017
408	58562	4868
409	58625	4718
410	58691	4569
411	58769	4421
412	58883	4277
413	58961	4130
414	59048	3984
415	59129	3837
416	59211	3691
417	59297	3546
418	59384	3401
419	59465	3256
420	59536	3111
421	59613	2966
422	59678	2821
423	59751	2677
424	59814	2533
425	59887	2389
426	59961	2246
427	60031	2103
428	60106	1961
429	60178	1819
430	60243	1677
431	60302	1535
432	60367	1394
433	60432	1253
434	60499	1112
435	60572	972
436	60640	832
437	60700	692
438	60775	553
